Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,723035.0,-,NC,-,34.983000000000004,-78.883,0,59,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-6,-1,1013,63,2.6000001234933734
Typical,1,1,1,0,0,0,0,-7,0,1013,57,2.1000000997446477
Typical,1,1,2,0,0,0,0,-7,-2,1014,65,3.100000147242099
Typical,1,1,3,0,0,0,0,-7,-1,1014,62,3.100000147242099
Typical,1,1,4,0,0,0,0,-6,-2,1014,75,3.6000001709908247
Typical,1,1,5,0,0,0,0,-6,-3,1019,82,1.0000000474974513
Typical,1,1,6,0,0,0,0,-6,-4,1019,84,0.5000000237487257
Typical,1,1,7,0,0,0,0,-6,-4,1019,86,0.0
Typical,1,1,8,0,0,0,0,-6,-5,1019,86,0.0
Typical,1,1,9,0,0,0,0,-7,-5,1019,87,0.0
Typical,1,1,10,0,0,0,0,-7,-6,1020,87,0.0
Typical,1,1,11,0,0,0,0,-7,-5,1021,86,0.0
Typical,1,1,12,0,7,6,7,-6,-5,1021,86,1.0000000474974513
Typical,1,1,13,0,51,53,61,-5,-2,1023,76,1.0000000474974513
Typical,1,1,14,0,125,117,164,-2,1,1024,76,0.0
Typical,1,1,15,0,225,120,279,-1,3,1024,66,0.800000037997961
Typical,1,1,16,0,236,58,266,-1,6,1023,59,1.500000071246177
Typical,1,1,17,0,158,0,158,0,8,1021,58,0.0
Typical,1,1,18,0,145,0,145,1,8,1021,58,0.0
Typical,1,1,19,0,117,0,117,1,8,1021,60,2.0000000949949026
Typical,1,1,20,0,74,0,74,1,8,1021,60,2.5000001187436283
Typical,1,1,21,0,26,0,26,2,7,1020,73,1.500000071246177
Typical,1,1,22,0,0,0,0,4,5,1020,93,1.500000071246177
Typical,1,1,23,0,0,0,0,4,5,1020,93,3.6000001709908247
Typical,1,2,0,0,0,0,0,5,6,1021,96,1.500000071246177
Typical,1,2,1,0,0,0,0,5,5,1021,100,0.0
Typical,1,2,2,0,0,0,0,6,6,1020,100,2.0000000949949026
Typical,1,2,3,0,0,0,0,5,6,1020,96,1.500000071246177
Typical,1,2,4,0,0,0,0,6,6,1019,100,0.0
Typical,1,2,5,0,0,0,0,6,6,1019,97,1.500000071246177
Typical,1,2,6,0,0,0,0,5,6,1019,96,3.000000142492354
Typical,1,2,7,0,0,0,0,5,6,1018,96,0.0
Typical,1,2,8,0,0,0,0,5,6,1018,96,1.500000071246177
Typical,1,2,9,0,0,0,0,5,5,1017,100,3.6000001709908247
Typical,1,2,10,0,0,0,0,4,5,1017,96,2.0000000949949026
Typical,1,2,11,0,0,0,0,4,4,1017,100,2.0000000949949026
Typical,1,2,12,0,6,8,6,3,3,1017,97,2.0000000949949026
Typical,1,2,13,0,28,36,35,3,3,1018,97,0.0
Typical,1,2,14,0,106,51,123,3,5,1019,89,1.500000071246177
Typical,1,2,15,0,129,595,395,3,7,1019,79,2.5000001187436283
Typical,1,2,16,0,111,679,459,4,10,1017,68,3.6000001709908247
Typical,1,2,17,0,97,762,501,5,11,1016,64,0.0
Typical,1,2,18,0,117,666,447,5,13,1016,59,1.500000071246177
Typical,1,2,19,0,76,367,228,5,13,1016,57,1.500000071246177
Typical,1,2,20,0,71,616,247,5,14,1015,55,3.000000142492354
Typical,1,2,21,0,25,481,86,5,12,1015,62,0.0
Typical,1,2,22,0,0,51,1,6,8,1015,86,2.0000000949949026
Typical,1,2,23,0,0,0,0,5,8,1015,83,0.0
Typical,1,3,0,0,0,0,0,5,7,1015,86,0.0
Typical,1,3,1,0,0,0,0,4,5,1015,93,2.0000000949949026
Typical,1,3,2,0,0,0,0,5,6,1015,90,2.0000000949949026
Typical,1,3,3,0,0,0,0,5,7,1015,89,2.5000001187436283
Typical,1,3,4,0,0,0,0,5,7,1014,83,3.000000142492354
Typical,1,3,5,0,0,0,0,3,7,1014,79,4.600000218488276
Typical,1,3,6,0,0,0,0,3,7,1014,76,2.0000000949949026
Typical,1,3,7,0,0,0,0,1,6,1014,70,3.000000142492354
Typical,1,3,8,0,0,0,0,1,5,1013,76,3.6000001709908247
Typical,1,3,9,0,0,0,0,1,5,1013,79,3.000000142492354
Typical,1,3,10,0,0,0,0,1,5,1014,79,3.000000142492354
Typical,1,3,11,0,0,0,0,1,5,1014,79,3.6000001709908247
Typical,1,3,12,0,8,1,8,1,5,1014,79,4.600000218488276
Typical,1,3,13,0,54,19,57,2,6,1015,76,4.600000218488276
Typical,1,3,14,0,116,36,128,2,7,1016,73,4.600000218488276
Typical,1,3,15,0,113,0,113,3,8,1016,71,4.600000218488276
Typical,1,3,16,0,137,0,137,5,10,1014,71,5.600000265985727
Typical,1,3,17,0,143,0,143,5,10,1013,67,5.600000265985727
Typical,1,3,18,0,131,0,131,5,11,1012,66,5.600000265985727
Typical,1,3,19,0,102,0,102,6,11,1012,71,3.000000142492354
Typical,1,3,20,0,61,0,61,5,10,1012,71,3.000000142492354
Typical,1,3,21,0,33,0,33,5,10,1012,74,4.10000019473955
Typical,1,3,22,0,0,0,0,5,9,1012,78,4.600000218488276
Typical,1,3,23,0,0,0,0,5,8,1012,83,5.100000242237002
Typical,1,4,0,0,0,0,0,5,8,1012,83,5.600000265985727
Typical,1,4,1,0,0,0,0,6,7,1012,93,4.10000019473955
Typical,1,4,2,0,0,0,0,6,6,1013,97,4.10000019473955
Typical,1,4,3,0,0,0,0,6,6,1013,97,4.10000019473955
Typical,1,4,4,0,0,0,0,6,6,1012,97,4.10000019473955
Typical,1,4,5,0,0,0,0,6,6,1012,97,2.0000000949949026
Typical,1,4,6,0,0,0,0,6,7,1012,96,2.5000001187436283
Typical,1,4,7,0,0,0,0,7,7,1012,97,2.5000001187436283
Typical,1,4,8,0,0,0,0,6,8,1012,86,7.700000365730375
Typical,1,4,9,0,0,0,0,6,9,1012,80,5.600000265985727
Typical,1,4,10,0,0,0,0,6,8,1012,86,8.2000003894791
Typical,1,4,11,0,0,0,0,3,7,1012,76,12.300000584218651
Typical,1,4,12,0,4,0,4,3,7,1012,74,8.700000413227826
Typical,1,4,13,0,47,0,47,3,7,1012,76,10.800000512972474
Typical,1,4,14,0,96,0,96,3,7,1013,76,10.800000512972474
Typical,1,4,15,0,134,0,134,2,7,1013,73,8.2000003894791
Typical,1,4,16,0,157,0,157,1,7,1011,65,8.700000413227826
Typical,1,4,17,0,278,135,350,1,9,1010,58,8.2000003894791
Typical,1,4,18,0,289,81,329,1,10,1010,54,9.200000436976552
Typical,1,4,19,0,271,142,330,1,10,1009,54,11.3000005367212
Typical,1,4,20,0,128,76,150,0,9,1009,54,6.100000289734453
Typical,1,4,21,0,31,0,31,1,9,1009,56,5.100000242237002
Typical,1,4,22,0,0,2,1,0,8,1009,56,4.600000218488276
Typical,1,4,23,0,0,0,0,1,7,1009,63,3.6000001709908247
Typical,1,5,0,0,0,0,0,0,7,1009,55,5.100000242237002
Typical,1,5,1,0,0,0,0,-4,6,1009,45,6.600000313483179
Typical,1,5,2,0,0,0,0,-4,4,1009,50,3.6000001709908247
Typical,1,5,3,0,0,0,0,-4,4,1009,50,4.10000019473955
Typical,1,5,4,0,0,0,0,-6,3,1008,43,4.600000218488276
Typical,1,5,5,0,0,0,0,-6,3,1008,47,4.600000218488276
Typical,1,5,6,0,0,0,0,-5,2,1007,51,4.10000019473955
Typical,1,5,7,0,0,0,0,-5,1,1008,56,3.6000001709908247
Typical,1,5,8,0,0,0,0,-5,1,1007,58,3.000000142492354
Typical,1,5,9,0,0,0,0,0,0,1007,96,4.10000019473955
Typical,1,5,10,0,0,0,0,-6,0,1007,59,3.000000142492354
Typical,1,5,11,0,0,0,0,-6,-1,1007,68,2.0000000949949026
Typical,1,5,12,0,6,181,15,-6,-1,1007,68,2.5000001187436283
Typical,1,5,13,0,28,636,145,-6,0,1008,57,2.5000001187436283
Typical,1,5,14,0,41,814,313,-6,2,1008,47,4.600000218488276
Typical,1,5,15,0,50,890,449,-7,5,1007,38,3.6000001709908247
Typical,1,5,16,0,56,924,533,-7,6,1006,33,4.600000218488276
Typical,1,5,17,0,57,932,555,-7,7,1005,31,3.000000142492354
Typical,1,5,18,0,55,916,514,-6,8,1004,31,2.8000001329928637
Typical,1,5,19,0,48,872,413,-6,9,1005,31,2.5000001187436283
Typical,1,5,20,0,37,774,264,-6,9,1005,31,3.6000001709908247
Typical,1,5,21,0,24,536,96,-5,8,1005,34,2.0000000949949026
Typical,1,5,22,0,1,58,2,-4,4,1005,50,0.0
Typical,1,5,23,0,0,0,0,-3,1,1006,70,2.0000000949949026
Typical,1,6,0,0,0,0,0,-2,0,1006,76,1.500000071246177
Typical,1,6,1,0,0,0,0,-2,0,1006,76,0.0
Typical,1,6,2,0,0,0,0,-3,0,1006,79,0.0
Typical,1,6,3,0,0,0,0,-3,0,1006,73,1.500000071246177
Typical,1,6,4,0,0,0,0,-3,1,1007,70,1.500000071246177
Typical,1,6,5,0,0,0,0,-3,2,1008,59,1.500000071246177
Typical,1,6,6,0,0,0,0,-3,1,1009,67,0.0
Typical,1,6,7,0,0,0,0,-2,0,1010,83,0.0
Typical,1,6,8,0,0,0,0,-3,-2,1011,91,0.0
Typical,1,6,9,0,0,0,0,-3,0,1012,76,3.000000142492354
Typical,1,6,10,0,0,0,0,-3,1,1013,70,1.500000071246177
Typical,1,6,11,0,0,0,0,-2,1,1014,71,2.0000000949949026
Typical,1,6,12,0,9,44,11,-2,1,1015,74,1.0000000474974513
Typical,1,6,13,0,61,210,100,-1,2,1017,72,0.0
Typical,1,6,14,0,162,307,265,-1,4,1017,66,1.500000071246177
Typical,1,6,15,0,174,425,365,-1,6,1017,57,2.5000001187436283
Typical,1,6,16,0,253,379,449,-1,10,1017,45,4.10000019473955
Typical,1,6,17,0,187,500,455,-2,11,1016,35,7.200000341981649
Typical,1,6,18,0,218,379,409,-1,12,1015,39,7.200000341981649
Typical,1,6,19,0,131,419,307,0,13,1016,39,4.600000218488276
Typical,1,6,20,0,52,637,241,0,14,1015,37,8.700000413227826
Typical,1,6,21,0,56,185,82,1,13,1016,45,4.10000019473955
Typical,1,6,22,0,1,11,1,1,10,1016,54,2.5000001187436283
Typical,1,6,23,0,0,0,0,2,9,1017,61,2.5000001187436283
Typical,1,7,0,0,0,0,0,2,6,1018,76,1.0000000474974513
Typical,1,7,1,0,0,0,0,2,5,1018,79,1.0000000474974513
Typical,1,7,2,0,0,0,0,1,4,1020,82,0.0
Typical,1,7,3,0,0,0,0,0,2,1020,85,2.0000000949949026
Typical,1,7,4,0,0,0,0,2,6,1021,76,3.6000001709908247
Typical,1,7,5,0,0,0,0,2,7,1021,73,3.000000142492354
Typical,1,7,6,0,0,0,0,2,6,1021,76,3.000000142492354
Typical,1,7,7,0,0,0,0,1,4,1022,82,1.0000000474974513
Typical,1,7,8,0,0,0,0,1,3,1022,85,0.0
Typical,1,7,9,0,0,0,0,0,2,1023,89,1.500000071246177
Typical,1,7,10,0,0,0,0,0,2,1023,88,2.0000000949949026
Typical,1,7,11,0,0,0,0,1,2,1023,89,2.5000001187436283
Typical,1,7,12,0,8,11,9,2,4,1024,89,0.5000000237487257
Typical,1,7,13,0,105,105,124,5,7,1025,83,2.0000000949949026
Typical,1,7,14,0,111,237,191,6,12,1025,69,4.600000218488276
Typical,1,7,15,0,153,0,153,7,15,1025,60,6.100000289734453
Typical,1,7,16,0,183,0,183,8,18,1024,54,6.600000313483179
Typical,1,7,17,0,230,147,309,8,19,1023,49,7.900000375229865
Typical,1,7,18,0,204,204,307,8,21,1023,45,9.200000436976552
Typical,1,7,19,0,237,231,335,8,21,1022,42,6.600000313483179
Typical,1,7,20,0,151,148,196,8,21,1023,44,6.100000289734453
Typical,1,7,21,0,40,68,50,8,20,1023,45,3.6000001709908247
Typical,1,7,22,0,1,6,1,8,18,1024,52,4.10000019473955
Typical,1,7,23,0,0,0,0,8,17,1023,55,4.10000019473955
Typical,1,8,0,0,0,0,0,8,17,1023,56,4.10000019473955
Typical,1,8,1,0,0,0,0,8,17,1023,58,5.100000242237002
Typical,1,8,2,0,0,0,0,8,16,1023,62,5.400000256486237
Typical,1,8,3,0,0,0,0,9,16,1023,64,5.600000265985727
Typical,1,8,4,0,0,0,0,10,16,1022,65,8.2000003894791
Typical,1,8,5,0,0,0,0,10,17,1022,63,8.700000413227826
Typical,1,8,6,0,0,0,0,11,15,1022,80,9.200000436976552
Typical,1,8,7,0,0,0,0,12,14,1022,90,6.100000289734453
Typical,1,8,8,0,0,0,0,12,14,1022,87,6.100000289734453
Typical,1,8,9,0,0,0,0,11,12,1022,90,4.700000223238021
Typical,1,8,10,0,0,0,0,10,11,1022,93,3.4000001614913344
Typical,1,8,11,0,0,0,0,10,10,1022,97,2.0000000949949026
Typical,1,8,12,0,7,19,8,5,10,1023,74,7.700000365730375
Typical,1,8,13,0,74,152,102,3,8,1024,71,6.100000289734453
Typical,1,8,14,0,167,148,217,3,8,1024,71,4.600000218488276
Typical,1,8,15,0,151,192,238,0,8,1024,56,4.600000218488276
Typical,1,8,16,0,115,254,248,0,9,1022,54,3.000000142492354
Typical,1,8,17,0,239,393,451,0,11,1021,44,4.10000019473955
Typical,1,8,18,0,280,126,344,-3,11,1020,33,5.600000265985727
Typical,1,8,19,0,83,718,389,-5,10,1020,33,5.600000265985727
Typical,1,8,20,0,48,625,236,-8,11,1020,23,5.600000265985727
Typical,1,8,21,0,40,429,101,-12,9,1019,18,6.100000289734453
Typical,1,8,22,0,1,53,3,-10,7,1019,25,4.600000218488276
Typical,1,8,23,0,0,0,0,-10,6,1018,26,5.100000242237002
Typical,1,9,0,0,0,0,0,-10,4,1018,29,4.400000208988786
Typical,1,9,1,0,0,0,0,-10,3,1019,31,3.6000001709908247
Typical,1,9,2,0,0,0,0,-10,2,1018,33,3.000000142492354
Typical,1,9,3,0,0,0,0,-12,1,1018,29,5.600000265985727
Typical,1,9,4,0,0,0,0,-12,0,1018,32,4.600000218488276
Typical,1,9,5,0,0,0,0,-6,0,1017,57,4.10000019473955
Typical,1,9,6,0,0,0,0,-11,0,1016,40,4.10000019473955
Typical,1,9,7,0,0,0,0,-11,-1,1015,44,3.000000142492354
Typical,1,9,8,0,0,0,0,-12,-2,1014,42,4.10000019473955
Typical,1,9,9,0,0,0,0,-12,-2,1013,44,5.100000242237002
Typical,1,9,10,0,0,0,0,-12,-3,1013,46,6.100000289734453
Typical,1,9,11,0,0,0,0,-12,-3,1014,46,3.6000001709908247
Typical,1,9,12,0,7,96,11,-11,-4,1013,53,2.0000000949949026
Typical,1,9,13,0,35,573,141,-12,-2,1013,44,4.10000019473955
Typical,1,9,14,0,50,771,311,-12,-1,1013,37,5.100000242237002
Typical,1,9,15,0,62,858,451,-12,0,1013,33,4.10000019473955
Typical,1,9,16,0,69,897,538,-13,1,1012,29,3.000000142492354
Typical,1,9,17,0,71,906,563,-12,1,1012,29,3.000000142492354
Typical,1,9,18,0,68,891,523,-12,3,1012,27,2.0000000949949026
Typical,1,9,19,0,60,843,421,-13,3,1012,24,2.0000000949949026
Typical,1,9,20,0,47,738,271,-13,3,1012,24,0.0
Typical,1,9,21,0,31,490,101,-12,2,1012,27,3.000000142492354
Typical,1,9,22,0,2,57,3,-13,0,1012,30,1.500000071246177
Typical,1,9,23,0,0,0,0,-12,-1,1013,37,2.0000000949949026
Typical,1,10,0,0,0,0,0,-12,-2,1013,40,1.9000000902451575
Typical,1,10,1,0,0,0,0,-11,-2,1013,44,1.8000000854954123
Typical,1,10,2,0,0,0,0,-11,-2,1013,47,1.600000075995922
Typical,1,10,3,0,0,0,0,-10,-3,1013,50,1.500000071246177
Typical,1,10,4,0,0,0,0,-10,-3,1014,54,1.500000071246177
Typical,1,10,5,0,0,0,0,-10,-4,1014,62,1.500000071246177
Typical,1,10,6,0,0,0,0,-9,-5,1015,68,2.5000001187436283
Typical,1,10,7,0,0,0,0,-9,-5,1015,71,2.5000001187436283
Typical,1,10,8,0,0,0,0,-10,-5,1015,65,1.500000071246177
Typical,1,10,9,0,0,0,0,-10,-5,1015,65,2.0000000949949026
Typical,1,10,10,0,0,0,0,-10,-5,1016,65,2.5000001187436283
Typical,1,10,11,0,0,0,0,-10,-5,1017,68,2.5000001187436283
Typical,1,10,12,0,8,71,11,-10,-4,1017,62,3.000000142492354
Typical,1,10,13,0,53,340,116,-10,-2,1019,51,4.10000019473955
Typical,1,10,14,0,124,374,251,-10,-1,1020,45,4.600000218488276
Typical,1,10,15,0,116,546,364,-11,0,1020,38,4.600000218488276
Typical,1,10,16,0,124,524,399,-11,1,1020,34,4.10000019473955
Typical,1,10,17,0,166,677,535,-11,2,1019,30,4.10000019473955
Typical,1,10,18,0,127,666,469,-11,4,1019,27,5.100000242237002
Typical,1,10,19,0,102,659,386,-11,4,1019,28,5.600000265985727
Typical,1,10,20,0,86,546,254,-11,3,1019,29,3.6000001709908247
Typical,1,10,21,0,49,272,89,-11,2,1019,31,4.10000019473955
Typical,1,10,22,0,2,17,3,-11,1,1020,35,1.500000071246177
Typical,1,10,23,0,0,0,0,-11,0,1020,38,2.0000000949949026
Typical,1,11,0,0,0,0,0,-10,0,1021,41,3.000000142492354
Typical,1,11,1,0,0,0,0,-9,0,1022,44,2.0000000949949026
Typical,1,11,2,0,0,0,0,-8,-1,1022,52,2.0000000949949026
Typical,1,11,3,0,0,0,0,-8,-1,1022,52,2.0000000949949026
Typical,1,11,4,0,0,0,0,-7,0,1023,54,3.000000142492354
Typical,1,11,5,0,0,0,0,-7,0,1023,52,2.5000001187436283
Typical,1,11,6,0,0,0,0,-6,0,1023,57,2.0000000949949026
Typical,1,11,7,0,0,0,0,-6,0,1023,59,2.0000000949949026
Typical,1,11,8,0,0,0,0,-6,0,1023,57,3.6000001709908247
Typical,1,11,9,0,0,0,0,-5,0,1024,62,3.6000001709908247
Typical,1,11,10,0,0,0,0,-5,0,1025,62,4.10000019473955
Typical,1,11,11,0,0,0,0,-3,0,1025,72,4.10000019473955
Typical,1,11,12,0,4,0,4,-3,0,1025,72,3.6000001709908247
Typical,1,11,13,0,46,0,46,-4,0,1025,66,4.10000019473955
Typical,1,11,14,0,99,44,114,-2,1,1026,71,3.6000001709908247
Typical,1,11,15,0,220,71,252,-2,0,1026,83,2.0000000949949026
Typical,1,11,16,0,334,27,348,-1,4,1025,63,0.0
Typical,1,11,17,0,190,295,352,-1,6,1024,57,0.0
Typical,1,11,18,0,180,77,220,0,8,1023,56,1.500000071246177
Typical,1,11,19,0,230,38,247,0,10,1023,52,1.500000071246177
Typical,1,11,20,0,39,10,43,1,10,1022,54,2.5000001187436283
Typical,1,11,21,0,27,24,30,1,8,1023,59,2.5000001187436283
Typical,1,11,22,0,2,0,2,1,6,1022,68,2.5000001187436283
Typical,1,11,23,0,0,0,0,1,6,1022,70,2.5000001187436283
Typical,1,12,0,0,0,0,0,1,6,1022,70,1.500000071246177
Typical,1,12,1,0,0,0,0,1,7,1021,68,2.0000000949949026
Typical,1,12,2,0,0,0,0,1,7,1021,68,0.0
Typical,1,12,3,0,0,0,0,2,7,1020,68,0.0
Typical,1,12,4,0,0,0,0,2,7,1019,71,2.0000000949949026
Typical,1,12,5,0,0,0,0,3,7,1019,76,1.500000071246177
Typical,1,12,6,0,0,0,0,3,7,1018,76,1.500000071246177
Typical,1,12,7,0,0,0,0,4,7,1017,80,2.5000001187436283
Typical,1,12,8,0,0,0,0,6,7,1017,96,3.000000142492354
Typical,1,12,9,0,0,0,0,7,8,1016,96,0.0
Typical,1,12,10,0,0,0,0,10,10,1016,97,3.000000142492354
Typical,1,12,11,0,0,0,0,11,11,1016,97,3.000000142492354
Typical,1,12,12,0,8,2,8,11,11,1016,100,1.500000071246177
Typical,1,12,13,0,72,126,96,12,12,1016,97,0.0
Typical,1,12,14,0,116,47,132,12,13,1016,96,3.000000142492354
Typical,1,12,15,0,214,62,243,12,13,1016,90,5.100000242237002
Typical,1,12,16,0,197,485,454,11,13,1015,87,4.600000218488276
Typical,1,12,17,0,181,406,404,10,12,1014,84,5.100000242237002
Typical,1,12,18,0,364,37,383,8,11,1013,86,4.10000019473955
Typical,1,12,19,0,222,62,249,8,11,1013,85,3.6000001709908247
Typical,1,12,20,0,91,44,105,8,11,1013,86,3.000000142492354
Typical,1,12,21,0,79,32,84,8,10,1012,89,3.000000142492354
Typical,1,12,22,0,2,4,2,8,10,1013,89,3.000000142492354
Typical,1,12,23,0,0,0,0,8,10,1013,92,2.0000000949949026
Typical,1,13,0,0,0,0,0,8,10,1013,89,2.0000000949949026
Typical,1,13,1,0,0,0,0,8,10,1013,89,2.0000000949949026
Typical,1,13,2,0,0,0,0,8,9,1013,91,1.0000000474974513
Typical,1,13,3,0,0,0,0,8,9,1014,93,0.0
Typical,1,13,4,0,0,0,0,8,8,1014,97,1.0000000474974513
Typical,1,13,5,0,0,0,0,8,9,1014,93,0.0
Typical,1,13,6,0,0,0,0,8,8,1014,97,1.500000071246177
Typical,1,13,7,0,0,0,0,8,8,1014,97,0.0
Typical,1,13,8,0,0,0,0,8,8,1013,97,0.0
Typical,1,13,9,0,0,0,0,8,8,1013,97,0.0
Typical,1,13,10,0,0,0,0,8,8,1013,96,1.0000000474974513
Typical,1,13,11,0,0,0,0,8,8,1013,97,1.500000071246177
Typical,1,13,12,0,5,0,5,7,8,1014,96,1.500000071246177
Typical,1,13,13,0,27,0,27,7,8,1015,93,2.5000001187436283
Typical,1,13,14,0,85,0,85,7,8,1015,90,2.300000109244138
Typical,1,13,15,0,125,0,125,6,8,1015,86,2.0000000949949026
Typical,1,13,16,0,150,0,150,6,9,1014,80,1.500000071246177
Typical,1,13,17,0,158,0,158,6,10,1012,77,1.500000071246177
Typical,1,13,18,0,147,0,147,6,9,1010,80,3.000000142492354
Typical,1,13,19,0,119,0,119,6,9,1010,80,3.000000142492354
Typical,1,13,20,0,64,0,64,6,8,1010,83,3.000000142492354
Typical,1,13,21,0,25,0,25,6,8,1010,86,2.5000001187436283
Typical,1,13,22,0,2,0,2,6,7,1010,90,2.0000000949949026
Typical,1,13,23,0,0,0,0,6,7,1010,90,2.5000001187436283
Typical,1,14,0,0,0,0,0,5,7,1011,86,3.000000142492354
Typical,1,14,1,0,0,0,0,5,7,1011,88,2.300000109244138
Typical,1,14,2,0,0,0,0,5,7,1011,89,1.500000071246177
Typical,1,14,3,0,0,0,0,5,7,1012,89,1.0000000474974513
Typical,1,14,4,0,0,0,0,5,7,1012,89,1.0000000474974513
Typical,1,14,5,0,0,0,0,5,6,1011,93,2.5000001187436283
Typical,1,14,6,0,0,0,0,5,6,1012,93,1.0000000474974513
Typical,1,14,7,0,0,0,0,5,6,1012,93,1.500000071246177
Typical,1,14,8,0,0,0,0,5,6,1013,96,2.5000001187436283
Typical,1,14,9,0,0,0,0,5,5,1013,95,1.8000000854954123
Typical,1,14,10,0,0,0,0,5,6,1013,93,1.0000000474974513
Typical,1,14,11,0,0,0,0,5,6,1014,96,1.0000000474974513
Typical,1,14,12,0,4,0,4,5,5,1014,98,2.0000000949949026
Typical,1,14,13,0,27,0,27,5,6,1014,93,3.000000142492354
Typical,1,14,14,0,85,0,85,5,6,1014,90,3.000000142492354
Typical,1,14,15,0,80,224,183,4,8,1014,74,4.600000218488276
Typical,1,14,16,0,157,559,454,3,10,1012,63,6.100000289734453
Typical,1,14,17,0,245,181,346,0,11,1010,45,7.700000365730375
Typical,1,14,18,0,281,222,397,-1,10,1009,44,6.600000313483179
Typical,1,14,19,0,176,161,248,-1,10,1008,42,7.900000375229865
Typical,1,14,20,0,132,71,154,-2,11,1006,37,9.200000436976552
Typical,1,14,21,0,44,45,52,-3,9,1005,39,5.600000265985727
Typical,1,14,22,0,3,26,4,-3,7,1005,44,4.10000019473955
Typical,1,14,23,0,0,0,0,-1,7,1004,52,2.0000000949949026
Typical,1,15,0,0,0,0,0,-1,6,1003,57,5.100000242237002
Typical,1,15,1,0,0,0,0,-3,7,1002,44,8.2000003894791
Typical,1,15,2,0,0,0,0,-5,7,1001,40,8.2000003894791
Typical,1,15,3,0,0,0,0,-6,4,1000,41,7.700000365730375
Typical,1,15,4,0,0,0,0,-9,2,998,37,7.700000365730375
Typical,1,15,5,0,0,0,0,-11,7,998,22,5.600000265985727
Typical,1,15,6,0,0,0,0,-14,0,998,28,7.200000341981649
Typical,1,15,7,0,0,0,0,-16,0,997,25,6.600000313483179
Typical,1,15,8,0,0,0,0,-16,-1,997,28,6.600000313483179
Typical,1,15,9,0,0,0,0,-16,-2,997,31,6.600000313483179
Typical,1,15,10,0,0,0,0,-15,-3,998,35,4.10000019473955
Typical,1,15,11,0,0,0,0,-15,-4,999,37,3.000000142492354
Typical,1,15,12,0,8,161,16,-14,-5,1001,43,2.0000000949949026
Typical,1,15,13,0,30,656,155,-16,-4,1003,35,3.6000001709908247
Typical,1,15,14,0,43,838,332,-16,-3,1004,32,2.5000001187436283
Typical,1,15,15,0,53,917,477,-16,-2,1005,28,5.100000242237002
Typical,1,15,16,0,75,846,527,-17,-1,1005,24,7.700000365730375
Typical,1,15,17,0,137,566,452,-16,0,1004,25,5.600000265985727
Typical,1,15,18,0,87,684,447,-17,0,1004,21,7.200000341981649
Typical,1,15,19,0,93,769,437,-18,0,1004,20,7.200000341981649
Typical,1,15,20,0,63,656,275,-18,0,1005,19,7.200000341981649
Typical,1,15,21,0,44,504,126,-20,0,1006,17,7.500000356230885
Typical,1,15,22,0,3,118,7,-21,-1,1007,17,7.700000365730375
Typical,1,15,23,0,0,0,0,-21,-2,1008,18,6.600000313483179
Typical,1,16,0,0,0,0,0,-19,-4,1008,26,6.100000289734453
Typical,1,16,1,0,0,0,0,-18,-5,1008,32,6.600000313483179
Typical,1,16,2,0,0,0,0,-20,-7,1009,31,8.2000003894791
Typical,1,16,3,0,0,0,0,-21,-8,1009,31,6.100000289734453
Typical,1,16,4,0,0,0,0,-21,-9,1010,32,6.100000289734453
Typical,1,16,5,0,0,0,0,-22,-10,1010,31,6.600000313483179
Typical,1,16,6,0,0,0,0,-22,-10,1010,32,4.600000218488276
Typical,1,16,7,0,0,0,0,-22,-11,1010,35,5.100000242237002
Typical,1,16,8,0,0,0,0,-22,-11,1011,35,5.100000242237002
Typical,1,16,9,0,0,0,0,-22,-12,1011,39,2.5000001187436283
Typical,1,16,10,0,0,0,0,-21,-12,1012,43,3.800000180490315
Typical,1,16,11,0,0,0,0,-23,-12,1013,35,5.100000242237002
Typical,1,16,12,0,7,177,16,-22,-12,1013,39,3.6000001709908247
Typical,1,16,13,0,31,639,154,-23,-11,1014,32,4.600000218488276
Typical,1,16,14,0,50,756,312,-23,-9,1015,27,4.900000232737511
Typical,1,16,15,0,110,723,446,-23,-8,1015,24,5.100000242237002
Typical,1,16,16,0,206,0,206,-22,-7,1014,24,3.000000142492354
Typical,1,16,17,0,236,435,480,-22,-6,1013,22,3.000000142492354
Typical,1,16,18,0,264,139,338,-22,-5,1012,22,1.500000071246177
Typical,1,16,19,0,198,123,253,-22,-5,1012,21,2.0000000949949026
Typical,1,16,20,0,140,89,169,-21,-4,1012,21,2.0000000949949026
Typical,1,16,21,0,57,172,85,-20,-4,1013,25,2.0000000949949026
Typical,1,16,22,0,3,32,5,-18,-6,1014,32,2.0000000949949026
Typical,1,16,23,0,0,0,0,-17,-6,1014,37,0.0
Typical,1,17,0,0,0,0,0,-15,-7,1015,48,0.5000000237487257
Typical,1,17,1,0,0,0,0,-13,-8,1015,61,1.0000000474974513
Typical,1,17,2,0,0,0,0,-16,-7,1014,47,1.500000071246177
Typical,1,17,3,0,0,0,0,-14,-7,1016,55,1.500000071246177
Typical,1,17,4,0,0,0,0,-15,-7,1015,52,0.0
